DisciplineName,count,Direction
Элементы и процессы графического дизайна 2,64,Дизайн / Искусство
Элементы и процессы графического дизайна 3,52,Дизайн / Искусство
Элементы и процессы графического дизайна 4,60,Дизайн / Искусство
Элементы искусственного интеллекта в технических системах,42,Другое
Элементы системного анализа и теории принятия решений,37,Другое
Энергетические установки транспортной техники,80,Транспорт
Энергосбережение в системах электроснабжения,10,Электроника и телеком
Эргономика,53,Другое
Этика в цифровом мире,18,Гуманитарные науки
Эффективность ІТ проектов,7,Другое
Эффективность работы транспортных предприятий,25,Транспорт
Языки и технологии программирования,552,IT / Программирование
