DisciplineName,count,Direction
Компьютерная архитектура и операционные системы,228,IT / Программирование
Компьютерная графика,116,IT / Программирование
Компьютерная математика,566,IT / Программирование
Компьютерное зрение в системах реального времени,2,IT / Программирование
Компьютерное моделирование,342,IT / Программирование
Компьютерное моделирование вычислительных систем,2,IT / Программирование
Компьютерное моделирование информационных систем,92,IT / Программирование
Компьютерные программы для проектирования объектов в машиностроении,61,IT / Программирование
Компьютерные программы и аддитивные технологии 3D принтинга,27,IT / Программирование
Компьютерные сети,270,IT / Программирование
Компьютерные технологии и автоматизированные системы поддержки инженерных решений в машиностроении,2,IT / Программирование
Кондиционирование воздуха в вагонах,16,Транспорт
Конструкторско-технологическое обеспечение машиностроительного производства на базе CAD-CAM-CAE-систем,30,Машиностроение
Конструкции из дерева и пластмасс,397,Строительство / Архитектура
"Конструкционные материалы и проектирование, производство заготовок",19,Машиностроение
Конструкционные материалы и производство заготовок,6,Машиностроение
Конструкционные материалы и термообработка,29,Машиностроение
Конструкция вагонов и SMART системы,16,Транспорт
Контроль и диагностика радиоэлектронных устройств и систем,1,Электроника и телеком
Контроль и диагностика электроэнергетических систем,2,Электроника и телеком
Контроль качества сварных соединений,1,Измерения / Метрология / Качество
Корпоративные информационные системы,18,IT / Программирование
Критическое и креативное мышление,477,Гуманитарные науки
Культура и этика академического письма,109,Гуманитарные науки
Культурология,1,Гуманитарные науки
Лидерство и управление инновациями,298,Софт-скиллы / Общие компетенции
Лидерство и управление инновациями 2,291,Софт-скиллы / Общие компетенции
Литейные сплавы и плавка,1,Другое
Манаштану,922,Другое
Математика,915,Математика / Физика
Математика 1,17,Математика / Физика
Математика 2,313,Математика / Физика
Математика 3,228,Математика / Физика
Математические основы моделирования,4,Математика / Физика
Математическое и компьютерное моделирование в информационных системах,2,IT / Программирование
"Математическое и компьютерное моделирование в радиотехнике, электронике и телекоммуникациях",1,IT / Программирование
Математическое и компьютерное моделирование в энергетике,2,IT / Программирование
Материаловедение в дизайне,83,Дизайн / Искусство
Машинная графика,40,Дизайн / Искусство
Менеджмент,46,Экономика / Менеджмент
Менеджмент научных исследований,22,Экономика / Менеджмент
Металлические конструкции,324,Строительство / Архитектура
Металлические конструкции 2,24,Строительство / Архитектура
Металлорежущие станки,2,Машиностроение
Методика преподавания технических дисциплин в высшей школе,34,Другое
Методология и методы научных исследований,7,Другое
Методология научных исследований в машиностроении,20,Машиностроение
Методология научных исследований в области технического регулирования и метрологии,6,Измерения / Метрология / Качество
Методы и средства измерений в телекоммуникациях,2,Электроника и телеком
"Методы и средства измерений, испытаний и контроля в промышленности",13,Измерения / Метрология / Качество
Методы контроля и диагностики в метрологической деятельности,5,Измерения / Метрология / Качество
Методы моделирования технологических процессов в машиностроении,3,Машиностроение
Методы научных исследований,593,Другое
Методы поиска новых технических решений,21,Другое
Методы принятия управленческих решений,1,Другое
Метрологическая экспертиза технической документации,13,Измерения / Метрология / Качество
Метрологическое обеспечение производства,24,Измерения / Метрология / Качество
Метрология,19,Измерения / Метрология / Качество
Метрология и радиоизмерения,43,Электроника и телеком
Метрология программного обеспечения,53,Измерения / Метрология / Качество
Механизация и автоматизация погрузочно-разгрузочных работ на железнодорожном транспорте,8,Транспорт
Механизмы преобразования и передачи энергии в металлорежущих станках,5,Другое
Механика,7,Другое
Механика грунтов. Основания и фундаменты,324,Другое
Мехатроника и робототехника,43,Другое
Мехатронные системы рекупиротивного действия,2,Другое
Микроконтроллеры и микропроцессоры,99,Электроника и телеком
Многоканальные телекоммуникационные системы,95,Электроника и телеком
Мобильные технологии и приложения,112,Другое
Модели и методы интеллектуального анализа данных,25,Другое
Модели и методы обработки знаний в интеллектуальных системах,6,Другое
Моделирование архитектуры программного обеспечения,13,Строительство / Архитектура
Моделирование бизнес-процессов,155,Математика / Физика
Моделирование и исследование свойств строительных материалов,24,Строительство / Архитектура
Моделирование и прототипирование сложных пространственных объектов,28,Математика / Физика
Моделирование прикладных задач,34,Математика / Физика
Моделирование радиотехнических систем,126,Электроника и телеком
Моделирование случайных процессов,20,Математика / Физика
Модуль социально-политических знаний,299,Другое
"Модуль социально-политических знаний (социология, политология, культурология, психология)",1070,Гуманитарные науки
"Монтаж, наладка и эксплуатация приборов и систем",4,Другое
"Монтаж, наладка приборов и систем",7,Другое
Надежность компьютерных систем,7,IT / Программирование
Надежность транспортной техники,23,Транспорт
Надежность электроэнергетических систем,8,Электроника и телеком
Написание и защита дипломного проекта,818,Другое
Написание и защита дипломного проекта/Подготовка и сдача комплексного экзамена,1,Другое
"Написание и защита дипломной работы, дипломного проекта или подготовка и сдача комплексного экзамена",79,Другое
